#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:00Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:10Z,40,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:20Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:30Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:40Z,31,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:50Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:10Z,31,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:20Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:40Z,31,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:50Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:00Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:10Z,32,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:20Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:30Z,40,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:40Z,33,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:50Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:00Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:10Z,32,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:20Z,38,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:30Z,37,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:40Z,28,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:50Z,37,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:00Z,37,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:10Z,37,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:20Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:40Z,36,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:50Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:07:00Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:07:10Z,36,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:07:20Z,42,sensor,luminosidad
,,2,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:30Z,24,sensor,temperatura
,,2,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:40Z,24,sensor,temperatura
,,2,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:50Z,24,sensor,temperatura
,,2,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:00Z,24,sensor,temperatura
,,2,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:10Z,24,sensor,temperatura
